Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
W. Ndidi,Leicester City,Leicester City,"RCMF, RDMF",26,32000000,2024-06-30,12,800,1,2.44,3,1.44,17.66,47.77,Nigeria,Nigeria,right,183,74,no,6.3,5.06,60,2.48,54.55,0,0,0.11,3.26,5,1.24,0,0,0,0,2.14,0.11,1,0.11,0.27,0,0,19,2.14,21.05,5.263,0.34,1.8,25,0.45,0,1.35,33.33,0.56,1.69,66.67,6.53,37.93,4.39,1.13,0,26.21,1.24,1.24,33.08,78.57,6.98,54.84,8.66,92.21,9.56,82.35,29.93,83.46,1.35,41.67,15.88,22.85,0.16,1.01,0,0,0.34,33.33,0.68,2.93,65.38,2.14,47.37,0.56,20,1.13,0.56,3.94,60,0,,0,,0,0,0,0,,,0.68,,,0,0,0,0,0,0
K. Dewsbury-Hall,Leicester City,Leicester City,"LCMF, AMF",25,25000000,2027-06-30,16,1500,5,5.09,4,4.19,16.56,51.09,England,England,left,178,70,no,5.1,3.36,71.43,1.38,43.48,0.48,0.76,0.12,2.22,3.5,0.36,4,0.24,0,0,3.96,0.3,5,0.3,0.31,1,0.06,42,2.52,33.33,11.905,0.24,2.16,33.33,1.92,31.25,0.12,50,0.12,3.3,61.82,9.42,49.68,3.48,2.88,1.86,35.34,0.78,1.62,43.38,85.2,9.78,69.33,12.6,98.57,13.32,84.68,39.54,89.68,1.8,46.67,17.37,35.88,0.25,1.86,0.18,0.06,1.38,26.09,0.66,4.62,68.83,3.6,56.67,1.2,20,1.62,0.6,4.68,75.64,0,,0,,0,0,0,0,,,0.3,,,0.6,0.06,0,3.18,0,0
J. Ayodele-Aribo,Southampton,Southampton,"RCMF, RWF, RW",27,15000000,2026-06-30,11,233,0,0.02,0,0.15,21.63,35.71,England,"England, Nigeria",left,183,76,no,8.5,5.41,71.43,3.86,20,0.77,1.33,0,3.86,6.67,0.39,0,0,0,0,1.55,0,0,0,0.01,0,0,1,0.39,0,0,0,0.77,0,0,0,0.77,0,0,2.7,28.57,9.66,20,1.16,0.77,0,35.54,1.55,1.16,44.42,87.83,8.88,73.91,15.84,97.56,10.04,92.31,42.88,90.99,0.77,0,12.42,6.03,0.06,1.55,0,0,1.16,66.67,0.39,1.93,40,2.32,100,0.39,0,2.32,0,3.09,100,0,,0,,0,0,0,0,,,1.55,,,0,0,0,0.39,0,0
C. Patino,Swansea City,Swansea City,"LCMF, RCMF, RDMF",20,12000000,,12,824,1,0.35,4,1.64,18.35,44.64,England,"England, Spain",left,182,71,yes,7.75,5.35,42.86,3.28,46.67,1.09,1.35,0.44,4.37,5.41,1.64,2,0.22,1,0.11,2.84,0.11,1,0.11,0.04,0,0,6,0.66,16.67,16.667,0.44,1.42,53.85,0.87,75,0.55,20,0.33,2.95,59.26,7.21,45.45,0.22,1.75,0.33,34.41,0.76,1.64,48.39,81.94,14.75,62.96,11.25,99.03,14.85,85.29,42.16,87.56,4.81,40.91,18.2,39.91,0.18,1.09,0.11,0.11,0.22,100,0.33,6.44,45.76,2.84,42.31,0.76,14.29,0.33,0.76,6.44,71.19,0,,0,,0,0,0,0,,,0.66,,,0.22,0,0,1.86,0,0
C. Casadei,Leicester City,Leicester City,"RCMF, LCMF",20,12000000,2028-06-30,12,574,1,1.98,0,0.43,19.44,49.19,Italy,Italy,right,185,77,yes,6.11,5.64,58.33,3.61,69.57,0.47,0.72,0,2.35,3.6,1.25,0,0,0,0,1.1,0.16,1,0.16,0.31,0,0,12,1.88,33.33,8.333,0,0.47,33.33,0,0,0.47,33.33,0,2.2,14.29,8.15,34.62,2.51,0.78,0.31,23.21,0.31,1.72,32.14,90.73,9.25,83.05,9.09,94.83,7.84,92,31.05,91.41,0.63,100,14.08,10.88,0.07,0.78,0,0,0.16,0,0.47,2.98,84.21,0.63,50,0.16,0,0.63,0,2.2,71.43,0,,0,,0,0,0,0,,,0.94,,,0,0,0,0,0,0
J. Piroe,Leeds United,Leeds United,"AMF, CF",24,10000000,2024-06-30,16,1454,6,7.52,1,0.32,15.23,38.62,Netherlands,"Netherlands, Suriname",left,185,81,no,3.65,3.4,65.45,2.41,20.51,0,0,0.06,1.42,1.92,0.68,0,0,0,0,2.35,0.37,6,0.37,0.47,0,0,39,2.41,46.15,15.385,0.06,0.19,33.33,0.12,50,0.06,0,0,1.86,50,6.87,28.83,2.35,1.24,0.56,17.02,0.19,0.43,23.21,81.6,6,77.32,5.69,86.96,6.69,82.41,22.72,82.29,0.31,60,14.83,7.12,0.02,0.5,0,0,0.74,33.33,0.25,2.54,75.61,1.11,33.33,0.68,36.36,0.74,0.06,2.79,75.56,0,,0,,0,0,0,0,,,0.06,,,0.31,0.12,50,0,0,0
I. Louza,Watford,Watford,RCMF,24,9000000,2028-06-30,13,940,1,0.76,3,2.08,17.71,35.14,France,"France, Morocco",left,178,65,no,6.99,7.66,50,1.15,16.67,0.67,0.98,0.1,2.49,3.64,1.72,3,0.29,0,0,1.44,0.1,1,0.1,0.07,0,0,17,1.63,17.65,5.882,0.29,2.01,19.05,0.48,20,1.53,18.75,0.48,1.34,42.86,6.41,20.9,1.82,0.86,0.19,40.5,0.86,0.48,50.17,87.79,12.26,78.91,12.45,100,17.04,85.39,44.04,93.26,4.12,62.79,17.55,29.43,0.2,1.63,0.1,0.19,0.29,66.67,0.77,6.41,74.63,3.35,48.57,1.44,60,1.24,0.48,5.55,86.21,0,,0,,0,0,0,0,,,1.05,,,1.05,0.29,33.33,3.26,0,0
D. Praet,Leicester City,Leicester City,"RCMF, RWF",29,8000000,2024-06-30,2,124,0,0.46,1,0.92,13.79,21.05,Belgium,Belgium,right,181,78,no,2.9,3.63,0,2.18,0,0,0,0,2.9,5.71,0.73,0,0,0,0,3.63,0,0,0,0.34,0,0,3,2.18,33.33,0,0.73,2.9,75,0,0,2.9,75,0.73,1.45,50,3.63,60,3.63,0,0,29.03,1.45,2.18,34.11,87.23,7.26,70,13.79,94.74,7.26,90,30.48,88.1,0.73,100,14.83,18.16,0.67,2.18,0,0,0,0,2.18,2.18,66.67,1.45,100,0.73,100,0,2.18,5.08,71.43,0,,0,,0,0,0,0,,,2.9,,,0,0,0,0,0,0
J. Gelhardt,Leeds United,Leeds United,"AMF, CF",21,8000000,2027-06-30,5,189,0,0.59,0,0.08,20.48,39.53,England,England,left,179,76,no,5.71,5.24,63.64,2.86,16.67,0.95,1.54,0,1.43,2.31,0.95,1,0.48,0,0,1.43,0,0,0,0.28,0,0,3,1.43,33.33,0,0,0,0,0,0,0,0,0,1.9,50,6.19,53.85,2.38,0.48,0,16.67,0.95,1.43,20.48,81.4,5.71,58.33,5.24,100,4.29,88.89,19.05,85,1.43,33.33,12.15,10.46,0.04,0.48,0,0,0,0,0,2.86,83.33,1.43,33.33,0.48,0,0.48,0,1.9,75,0,,0,,0,0,0,0,,,0.48,,,0.48,0.48,0,0,0,0
Y. Akgün,Leicester City,Leicester City,"AMF, RW, RCMF",23,7000000,2026-06-30,7,289,0,0.03,1,0.41,16.82,40.74,Turkey,Turkey,left,173,65,yes,6.85,6.54,66.67,2.18,14.29,0,0,0,2.49,3.87,1.56,1,0.31,0,0,2.18,0,0,0,0.01,0,0,2,0.62,50,0,0.31,1.25,50,0,0,1.25,50,0,3.11,40,6.54,28.57,3.11,2.18,0.93,32.08,3.43,0.31,40.48,90,6.23,70,14.33,100,11.83,86.84,38.93,91.2,0.62,50,13.76,10.51,0.13,1.25,0,0,0.31,0,0.31,1.25,75,1.56,20,0.31,0,0.62,0.31,4.36,50,0,,0,,0,0,0,0,,,0.62,,,0.31,0,0,0.93,0,0
